Date,Affected pages
2026-06-30,0
2026-07-01,0
2026-07-02,0
2026-07-03,0
2026-07-04,0
2026-07-05,0
2026-07-06,0
2026-07-07,0
2026-07-08,0
2026-07-09,0
2026-07-10,0
2026-07-11,41
2026-07-12,41
2026-07-13,41
2026-07-14,41
2026-07-15,41
2026-07-16,41
2026-07-17,41
2026-07-18,41
2026-07-19,41
2026-07-20,41
2026-07-21,41
2026-07-22,41
2026-07-23,41
2026-07-24,41
2026-07-25,471
2026-07-26,471
2026-07-27,471
2026-07-28,471
2026-07-29,471
2026-07-30,471
2026-07-31,471
2026-08-01,471
2026-08-02,471
2026-08-03,471
2026-08-04,471
2026-08-05,471
