Country,Clicks,Impressions,CTR,Position
India,5,67,7.46%,26.6
United States,3,67898,0%,46.21
Ukraine,1,7,14.29%,11.71
United Kingdom,0,201,0%,29.1
Canada,0,98,0%,66.35
Netherlands,0,76,0%,46.55
Germany,0,67,0%,25
Spain,0,33,0%,34.58
France,0,21,0%,36.33
Brazil,0,19,0%,32.89
Australia,0,17,0%,60.71
Italy,0,15,0%,46
Ireland,0,15,0%,55.13
Poland,0,13,0%,41.31
Pakistan,0,12,0%,45.42
Vietnam,0,11,0%,28.45
Philippines,0,11,0%,32.55
South Africa,0,11,0%,76.36
Belgium,0,10,0%,23.7
Indonesia,0,10,0%,33.5
Nigeria,0,10,0%,50.6
Hungary,0,10,0%,50.8
Romania,0,9,0%,37.56
Greece,0,8,0%,35
Egypt,0,8,0%,42
Mexico,0,8,0%,45.88
Portugal,0,8,0%,50.5
Bangladesh,0,7,0%,19
Bulgaria,0,7,0%,31.29
Austria,0,7,0%,51.14
Argentina,0,6,0%,24.33
Thailand,0,6,0%,33.83
Latvia,0,6,0%,64.67
Turkey,0,5,0%,25.6
Sweden,0,5,0%,33.8
Czechia,0,5,0%,43.2
New Zealand,0,5,0%,66.4
Nepal,0,5,0%,76.6
Russia,0,4,0%,17.5
Norway,0,4,0%,21.25
Morocco,0,4,0%,31.25
Lithuania,0,4,0%,34.5
South Korea,0,4,0%,36
Malaysia,0,4,0%,42
Iraq,0,3,0%,28.33
Colombia,0,3,0%,35.67
Denmark,0,3,0%,48
Switzerland,0,3,0%,64.33
Peru,0,2,0%,5.5
United Arab Emirates,0,2,0%,20
Chile,0,2,0%,21
Finland,0,2,0%,27.5
Cyprus,0,2,0%,35
Slovakia,0,2,0%,41.5
Kazakhstan,0,2,0%,44
Hong Kong,0,1,0%,1
Jordan,0,1,0%,3
Malta,0,1,0%,9
Libya,0,1,0%,11
Iran,0,1,0%,13
Rwanda,0,1,0%,29
British Virgin Islands,0,1,0%,33
Algeria,0,1,0%,39
Puerto Rico,0,1,0%,42
Trinidad & Tobago,0,1,0%,45
Croatia,0,1,0%,75
Dominican Republic,0,1,0%,99
Qatar,0,1,0%,100
Tunisia,0,1,0%,100
