Date,Clicks,Impressions,CTR,Position
2026-06-30,0,404,0%,62.9
2026-07-01,0,565,0%,56
2026-07-02,0,554,0%,58.9
2026-07-03,0,1487,0%,40.7
2026-07-04,1,2008,0.05%,45.2
2026-07-05,0,2407,0%,47
2026-07-06,0,2339,0%,43.5
2026-07-07,0,2233,0%,45.9
2026-07-08,0,2857,0%,45.2
2026-07-09,0,2819,0%,44.6
2026-07-10,0,2747,0%,45.6
2026-07-11,0,2498,0%,41.4
2026-07-12,0,2799,0%,44.3
2026-07-13,1,2894,0.03%,44
2026-07-14,0,2642,0%,44.2
2026-07-15,1,4643,0.02%,57.3
2026-07-16,0,1889,0%,48.5
2026-07-17,2,3112,0.06%,43.1
2026-07-18,1,2452,0.04%,44
2026-07-19,0,2243,0%,41.8
2026-07-20,0,46,0%,13.8
2026-07-21,0,93,0%,13.7
2026-07-22,0,227,0%,40.3
2026-07-23,0,2093,0%,43.3
2026-07-24,1,1467,0.07%,49.7
2026-07-25,1,3401,0.03%,43.8
2026-07-26,0,6026,0%,44.7
2026-07-27,1,9856,0.01%,48.3
